Model,Feature,Raw_Importance,Normalized_Importance,Rank,Permutation_Importance_Mean,Permutation_Importance_Std,Permutation_Normalized,Permutation_Rank
lightgbm,Idle Std,90.0,0.0040146311000089216,19,0.0,0.0,0.0,18
lightgbm,Active Max,77.0,0.0034347399411187437,20,0.0,0.0,0.0,17
xgboost,Destination Port,0.12391839176416397,0.12391839176416397,1,0.15781455051895796,0.030451474972438764,0.3598166124277423,1
xgboost,Bwd Packet Length Max,0.08729879558086395,0.08729879558086395,2,0.010143101001464094,0.004379171650564011,0.023126234113760157,11
xgboost,Active Mean,0.08639388531446457,0.08639388531446457,3,0.019578240763761155,0.00725438172583147,0.04463831912675899,7
xgboost,PSH Flag Count,0.08462800830602646,0.08462800830602646,4,0.017110801859005466,0.0038950447295525085,0.039012567222627956,8
xgboost,min_seg_size_forward,0.07502742856740952,0.07502742856740952,5,0.04981841452325575,0.00713579425365935,0.11358580746409419,4
xgboost,Bwd Packets/s,0.06377462297677994,0.06377462297677994,6,0.05484810139508296,0.008504756176625501,0.12505347559635396,2
xgboost,Init_Win_bytes_backward,0.05742399021983147,0.05742399021983147,7,0.022535185208546426,0.02096078007327328,0.05138014191661547,6
xgboost,Flow Bytes/s,0.051638029515743256,0.051638029515743256,8,-0.07798952943394884,0.027836262973331985,0.0,20
xgboost,Bwd Header Length,0.047516923397779465,0.047516923397779465,9,-0.001614915570340747,0.001823440624996591,0.0,18
xgboost,act_data_pkt_fwd,0.04140251874923706,0.04140251874923706,10,0.001172769476947444,0.0014598506710328907,0.0026739102254274877,13
xgboost,Flow IAT Std,0.03899259492754936,0.03899259492754936,11,0.02567769283562038,0.005624146174310639,0.058545048100385015,5
xgboost,Fwd Header Length,0.03878214955329895,0.03878214955329895,12,-0.011094000291060358,0.004833797574308868,0.0,19
xgboost,Fwd Packet Length Max,0.03712271898984909,0.03712271898984909,13,0.012447592757891623,0.005748122126397012,0.028380467100760944,9
xgboost,Init_Win_bytes_forward,0.03548642247915268,0.03548642247915268,14,0.05356310748597006,0.025456489324438364,0.1221236940657736,3
xgboost,Active Std,0.03292933851480484,0.03292933851480484,15,-0.0005972042123520537,0.0011944084247041075,0.0,16
xgboost,Active Max,0.024515502154827118,0.024515502154827118,16,-5.583728249769493e-06,7.4447840580000236e-06,0.0,15
xgboost,Total Length of Fwd Packets,0.024084141477942467,0.024084141477942467,17,-0.0008450824867170415,0.002445302277537998,0.0,17
xgboost,FIN Flag Count,0.01820564642548561,0.01820564642548561,18,0.003253683821509967,9.16626988595425e-05,0.007418387510637239,12
xgboost,Idle Std,0.01776394620537758,0.01776394620537758,19,0.0,0.0,0.0,14
xgboost,Fwd IAT Min,0.01309495884925127,0.01309495884925127,20,0.010633935547772722,0.0020528437200280445,0.024245335129062687,10
catboost,Init_Win_bytes_backward,13.40002557869619,0.13400025578696187,1,0.015907784211573527,0.019865873273030066,0.07869317214966369,3
catboost,Destination Port,9.815879628451349,0.09815879628451346,2,0.08827543971251636,0.00603030477582348,0.43668397065823505,1
catboost,min_seg_size_forward,9.725230686144535,0.09725230686144531,3,0.011500207727212119,0.006946765444951554,0.056889621734746834,5
catboost,Init_Win_bytes_forward,8.302999096441322,0.0830299909644132,4,0.07062342573813397,0.024116983623275752,0.34936238293744337,2
catboost,Flow Bytes/s,7.931315066286596,0.07931315066286594,5,-0.061333484241993586,0.021950461666210012,0.0,19
catboost,Total Length of Fwd Packets,7.874520849286132,0.07874520849286129,6,-0.11285291518642307,0.02946205416347302,0.0,20
catboost,Bwd Packet Length Max,7.027815950583418,0.07027815950583416,7,0.01547614893505318,0.032902532847190726,0.0765579439702186,4
catboost,Flow IAT Std,6.49842457870279,0.06498424578702788,8,-0.013523339392020706,0.01137478383290159,0.0,14
catboost,Fwd IAT Min,4.609662139541895,0.04609662139541893,9,-0.012743985817962988,0.017171573684196768,0.0,12
catboost,Bwd Packets/s,4.471677915647374,0.04471677915647372,10,-0.01282685178721039,0.00823446156960052,0.0,13
catboost,act_data_pkt_fwd,3.7177280602946565,0.037177280602946554,11,-0.05563556212695146,0.001228192007732249,0.0,18
catboost,Fwd Packet Length Max,3.697248567970668,0.036972485679706665,12,-0.0013128757553041437,0.014327382241849883,0.0,10
catboost,PSH Flag Count,3.4344753389630425,0.03434475338963042,13,-0.015628422898690132,0.011901656889922271,0.0,15
catboost,Fwd Header Length,3.1280646934512193,0.031280646934512185,14,-0.020594763143992445,0.023074711175115246,0.0,16
catboost,Active Mean,2.5845629441887827,0.02584562944188782,15,-0.002404843770037557,0.0013297389349978027,0.0,11
catboost,Bwd Header Length,2.2382749848181405,0.022382749848181397,16,-0.052891222840475004,0.03800218378768309,0.0,17
catboost,Active Max,1.1178239412447366,0.011178239412447362,17,0.00010907420389227873,0.0013756520500840862,0.0005395720101444334,7
catboost,Idle Std,0.2910536777425359,0.002910536777425358,18,4.659478162429842e-05,5.706671982797055e-05,0.00023049666269481093,8
catboost,Active Std,0.10976691120514366,0.0010976691120514364,19,-0.00024918830241111857,0.0004896428100981346,0.0,9
catboost,FIN Flag Count,0.023449390339487883,0.00023449390339487877,20,0.0002108095438909663,0.0004216190877819325,0.0010428398768531546,6
